date_time,latitude,longitude,depth,magnitude,location
31 March 2018 - 09:49 PM,06.33,126.83,015,2.8,090 km S 28° E of Tarragona (Davao Oriental)
31 March 2018 - 08:31 PM,11.33,125.64,011,2.0,002 km N 55° E of Hernani (Eastern Samar)
31 March 2018 - 07:48 PM,05.11,127.51,072,3.7,227 km S 68° E of Jose Abad Santos (Davao Occidental)
31 March 2018 - 07:23 PM,07.26,123.51,009,3.3,024 km S 26° E of Tabina (Zamboanga del Sur)
31 March 2018 - 06:26 PM,09.15,125.44,023,3.1,012 km N 74° W of Cabadbaran (Agusan del Norte)
31 March 2018 - 05:38 PM,09.74,122.89,028,3.0,026 km S 11° W of Mabinay (Negros Oriental)
31 March 2018 - 03:47 AM,15.64,124.59,084,3.3,182 km N 15° E of Pandan (Catanduanes)
31 March 2018 - 01:42 AM,09.59,122.52,019,2.6,005 km N 31° E of Hinoba-an (Negros Occidental)
31 March 2018 - 12:45 AM,13.33,125.44,032,3.1,093 km N 22° E of Palapag (Northern Samar)
30 March 2018 - 09:00 PM,10.72,124.97,007,2.5,006 km S 61° W of Abuyog (Leyte)
30 March 2018 - 08:38 PM,17.38,122.38,032,4.0,009 km N 55° E of Divilacan (Isabela)
30 March 2018 - 08:23 PM,06.45,126.33,024,2.9,035 km S 52° E of Governor Generoso (Davao Oriental)
30 March 2018 - 07:40 PM,08.22,125.84,018,2.3,004 km N 22° W of Loreto (Agusan Del Sur)
30 March 2018 - 05:16 PM,04.69,125.07,010,2.9,093 km S 28° W of Sarangani (Davao Occidental)
30 March 2018 - 04:04 PM,13.62,120.67,075,1.7,021 km N 19° W of Abra De Ilog (Occidental Mindoro)
30 March 2018 - 03:29 PM,05.62,126.77,037,2.8,131 km S 77° E of Jose Abad Santos (Davao Occidental)
30 March 2018 - 11:32 AM,05.28,127.54,137,2.9,221 km S 47° E of Governor Generoso (Davao Oriental)
30 March 2018 - 10:12 AM,09.70,125.36,003,4.0,010 km S 39° W of San Francisco (Anao-aon) (Surigao Del Norte)
30 March 2018 - 09:24 AM,11.24,123.71,034,2.2,007 km S 19° W of Madridejos (Cebu)
30 March 2018 - 08:33 AM,10.42,125.04,001,3.9,004 km S 40° E of Abuyog (Leyte)
30 March 2018 - 07:58 AM,16.03,121.85,027,2.2,016 km S 43° W of Dinalungan (Aurora)
30 March 2018 - 07:44 AM,17.20,121.57,001,1.9,021 km N 87° E of Paracelis (Mountain Province)
30 March 2018 - 05:15 AM,03.65,129.05,014,3.7,443 km S 63° E of Sarangani (Davao Occidental)
30 March 2018 - 04:49 AM,14.38,119.27,033,2.9,109 km S 54° W of San Antonio (Zambales)
30 March 2018 - 04:47 AM,03.64,126.06,044,3.3,209 km S 18° E of Sarangani (Davao Occidental)
30 March 2018 - 04:12 AM,06.19,125.10,007,1.8,038 km N 16° E of Maasim (Sarangani)
30 March 2018 - 03:59 AM,03.77,125.76,001,3.5,187 km S 10° E of Sarangani (Davao Occidental)
30 March 2018 - 02:54 AM,13.82,120.25,001,2.0,011 km N 02° E of Looc (Occidental Mindoro)
30 March 2018 - 01:27 AM,10.55,122.30,016,2.2,027 km N 85° W of Nueva Valencia (Guimaras)
